VNET	NET	STA	SITE DESCRIPTION	LAT	LON	ELEV	START	END	STATUS	INSTALL	CERT
_US-TA	AK	GCSA	Galena City School, AK, USA	64.75	-156.88	45.0	2015/07/28	2021/04/30	Ended	2015/06/30	2015/07/28
_US-TA	AK	GLI	Glacier Island, AK, USA	60.88	-147.10	430.0	2015/02/19	2021/04/30	Ended	2010/07/25	2015/02/19
_US-TA	AK	H16K	Elim, AK, USA	64.64	-162.24	216.0	2020/09/29	2021/04/30	Ended	2017/07/20	2020/10/13
_US-TA	AK	H17K	Granite Mountain, AK, USA	64.94	-159.91	396.0	2020/09/23	2021/04/30	Ended	2017/07/10	2020/09/27
_US-TA	AK	H20K	Anotleneega Mountain, AK, USA	65.49	-154.88	514.0	2020/09/23	2021/04/30	Ended	2017/06/10	2020/09/27
_US-TA	AK	H21K	Melozitna River, AK, USA	65.66	-152.81	520.0	2019/10/14	2021/04/30	Ended	2015/05/30	2019/10/07
_US-TA	AK	H22K	Ishtalitna Creek, AK, USA	65.89	-151.38	561.0	2019/10/14	2021/04/30	Ended	2016/06/13	2019/10/06
_US-TA	AK	H23K	Yukon River, AK, USA	65.83	-149.54	617.0	2019/09/24	2021/04/30	Ended	2015/05/20	2019/09/17
_US-TA	AK	H24K	Noodor Dome, AK, USA	65.84	-147.88	814.0	2019/10/16	2020/11/04	Ended	2015/05/26	2019/10/02
_US-TA	AK	HARP	HAARP, Gakona, AK, USA	62.40	-145.16	581.0	2020/04/02	2021/01/05	Ended	2002/11/08	2020/03/19
_US-TA	AK	HDA	Harding Lake, AK, USA	64.41	-146.95	437.0	2014/10/30	2021/04/30	Ended	2014/10/23	2014/10/30
_US-TA	AK	HOM	Homer Trailer, AK, USA	59.66	-151.65	221.0	2014/08/21	2021/04/30	Ended		2014/08/21
_US-TA	AK	I21K	Tanana, AK, USA	65.18	-151.98	248.0	2019/12/04	2020/11/04	Ended	2015/05/30	2019/12/04
